127.0.0.1 - - [27/Jul/2020:19:56:59 +0900] "GET / HTTP/1.1" 404 1115
0:0:0:0:0:0:0:1 - - [27/Jul/2020:19:57:15 +0900] "GET /board/ HTTP/1.1" 500 13513
0:0:0:0:0:0:0:1 - - [27/Jul/2020:19:57:15 +0900] "GET /favicon.ico HTTP/1.1" 404 1126
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:12:22 +0900] "GET /board/ HTTP/1.1" 200 5441
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:12:23 +0900] "GET /board/resources/jquery-ui-1.11.4.custom/jquery-ui.js HTTP/1.1" 200 470596
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:12:23 +0900] "GET /board/resources/css/style1.css HTTP/1.1" 200 598
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:12:23 +0900] "GET /board/resources/jquery-ui-1.11.4.custom/jquery-ui.css HTTP/1.1" 200 35294
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:12:23 +0900] "GET /board/resources/smarteditor/js/HuskyEZCreator.js HTTP/1.1" 200 4055
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:12:23 +0900] "GET /board/resources/images/%EB%8F%99%EC%9B%90.png HTTP/1.1" 200 259873
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:12:23 +0900] "GET /board/resources/images/%EB%A0%88%EB%85%B8%EB%B3%B4.png HTTP/1.1" 200 169260
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:12:23 +0900] "GET /board/resources/images/%EB%AF%B8%EC%83%A4.png HTTP/1.1" 200 179918
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:12:23 +0900] "GET /board/resources/images/%EC%9B%90%EB%8D%94%ED%94%8C%EB%A0%88%EC%9D%B4%EC%8A%A4.png HTTP/1.1" 200 224901
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:12:32 +0900] "GET /board/login.action HTTP/1.1" 200 6287
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:12:39 +0900] "POST /board/loginEnd.action HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:12:45 +0900] "POST /board/loginEnd.action HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:12:51 +0900] "POST /board/loginEnd.action HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:12:57 +0900] "POST /board/loginEnd.action HTTP/1.1" 200 198
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:13:05 +0900] "POST /board/loginEnd.action HTTP/1.1" 200 4436
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:13:06 +0900] "GET /board/index.action HTTP/1.1" 200 6016
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:13:08 +0900] "GET /board/list.action HTTP/1.1" 500 14981
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:13:14 +0900] "GET /board/add.action HTTP/1.1" 200 10719
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:13:15 +0900] "GET /board/resources/smarteditor/SmartEditor2Skin.html HTTP/1.1" 200 98742
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:13:15 +0900] "GET /board/resources/smarteditor/js/smarteditor2.min.js HTTP/1.1" 200 370775
0:0:0:0:0:0:0:1 - - [27/Jul/2020:20:13:15 +0900] "GET /board/resources/smarteditor/js/lib/jindo2.all.js HTTP/1.1" 200 113470
